chart,difficulty,difficulty_level,song_title_eng,song_title_jpn,cluster,total_notes,bpm,duration_seconds,pca_x,pca_y
54_easy.svg,easy,5,Ready Steady,Ready Steady,0,96,115.0,92.0,-3.278601049777272,-0.5476250840104427
52_easy.svg,easy,5,Becoming Potatoes,potatoになっていく,0,103,116.0,107.0,-3.2271134485081565,-0.5201933553599026
50_easy.svg,easy,5,Blessing,Blessing,0,111,110.0,132.0,-3.343337624852328,-0.777303091658109
67_easy.svg,easy,5,Jishoumushoku,自傷無色,0,112,120.0,104.0,-3.1784754891369134,-0.327635323191261
594_easy.svg,easy,5,,Call!!,0,115,108.0,102.0,-3.344927181438552,-0.8877301856391702
577_easy.svg,easy,5,Smile Symphony,スマイル*シンフォニー,0,121,122.0,94.0,-3.0832454060396572,-0.26868327760489663
639_easy.svg,easy,5,,マリオネットダンサー,0,124,112.0,127.0,-3.2376956569890236,-0.7270227964775459
111_easy.svg,easy,5,Cutlery,カトラリー,0,125,108.0,111.0,-3.373233634223845,-0.8706281989543216
540_easy.svg,easy,5,,虚無さん,0,128,115.0,94.0,-3.172965085665743,-0.5979908228997212
325_easy.svg,easy,5,Becoming Pigs Yeah Yeah,豚になってyeah yeah,0,129,115.0,121.0,-3.202363195157727,-0.5810115618307091
212_easy.svg,easy,5,Starry sky melody,星空のメロディー,0,131,113.0,108.0,-3.1882926067794877,-0.6985533404374938
263_easy.svg,easy,5,Highlight,Highlight,0,132,130.0,97.0,-2.907566628562664,0.07210838466119333
455_easy.svg,easy,5,DOKUZU,ド屑,0,141,115.0,120.0,-3.2083693782802194,-0.5760071338169855
421_easy.svg,easy,5,CRAZY,CR詠ZY,0,149,122.0,101.0,-2.9490294641220323,-0.3327849037457389
209_easy.svg,easy,5,Metamo Re:born,メタモリボン,0,149,123.0,103.0,-3.005390762646449,-0.25062977003349407
172_easy.svg,easy,5,Happy Halloween,Happy Halloween,0,150,120.0,123.0,-3.04445491928369,-0.39091788185916987
41_easy.svg,easy,5,Sweet Magic,スイートマジック,0,151,123.0,149.0,-2.9282258211630565,-0.28765454046496375
527_easy.svg,easy,5,Unpoison,Unpoison,0,156,119.0,122.0,-3.1041472924608406,-0.41238759441574213
300_easy.svg,easy,5,Samsa,ザムザ,0,169,121.0,114.0,-2.9609527657101427,-0.38097180599968916
510_easy.svg,easy,5,,失敗作少女,0,176,120.0,125.0,-3.0413654285886973,-0.38947130856785056
92_easy.svg,easy,5,Otome Dissection,乙女解剖,0,177,134.0,111.0,-2.6458154119103416,0.1585708749815852
463_easy.svg,easy,5,Happy Cheat Day,ハッピーチートデー,0,178,124.0,123.0,-2.9693492404995117,-0.21192903765930232
607_easy.svg,easy,5,,回る空うさぎ,0,181,120.0,132.0,-2.852946581211112,-0.4884777273445655
262_easy.svg,easy,5,Imperial Girl,帝国少女,0,182,118.0,148.0,-2.981821823483483,-0.5263153813769521
305_easy.svg,easy,5,STROBE LAST,ストロボラスト,0,183,120.0,132.0,-2.966496330089645,-0.4274834198011908
629_easy.svg,easy,5,,8.32,0,188,110.0,121.0,-3.1561885506924656,-0.8640278031093898
214_easy.svg,easy,5,My Palette is Full of You,パレットには君がいっぱい,0,189,120.0,133.0,-2.9742002062019863,-0.4238644181955291
239_easy.svg,easy,5,Moonlight,月光,0,190,109.0,157.0,-3.2248654449500096,-0.8825638275032047
155_easy.svg,easy,5,Heartbeat #0822,心拍数♯0822,0,197,114.0,123.0,-3.104994534150715,-0.6791687914988374
181_easy.svg,easy,5,"Love Me, Love Me, Love Me",愛して愛して愛して,0,205,115.0,130.0,-3.081937735673405,-0.6344637541621805
223_easy.svg,easy,5,Thousand Year Solo,千年の独奏歌,0,214,108.0,151.0,-3.2065249873794195,-0.9434353010926801
517_easy.svg,easy,5,merry-go-round,メリーゴーラウンド,0,218,116.0,138.0,-2.9618484361664095,-0.6389712588076756
202_easy.svg,easy,5,Q,Q,0,218,118.0,130.0,-2.985719996904758,-0.521040235493705
571_easy.svg,easy,5,,偽物人間40号,0,220,112.0,127.0,-2.9761406034355105,-0.8484612710564863
446_easy.svg,easy,5,O-Barcode,オーバーコード,0,231,120.0,160.0,-2.7821539908478656,-0.5158557543605663
280_easy.svg,easy,5,Hollow,虚ろを扇ぐ,0,320,124.0,156.0,-2.5036462789524006,-0.43479787387364793
74_easy.svg,easy,6,Hitorinbo Envy,独りんぼエンヴィー,0,74,132.0,74.0,-2.971016490173384,0.20335801174500334
161_easy.svg,easy,6,magic number,magic number,0,98,120.0,111.0,-3.1865956208983954,-0.3247350577379365
126_easy.svg,easy,6,Cinema,シネマ,0,105,124.0,106.0,-3.072129253399763,-0.1695689443372523
69_easy.svg,easy,6,Fragile,フラジール,0,108,127.0,124.0,-3.0227862435735213,-0.03219676703421743
90_easy.svg,easy,6,Close to gray,限りなく灰色へ,0,108,108.0,121.0,-3.3599837638049386,-0.8807117928876955
187_easy.svg,easy,6,Lower one's eyes,ロウワー,0,109,132.0,107.0,-2.9114930646939037,0.17869430078745374
382_easy.svg,easy,6,Shinpaku Pairing,心拍ペアリング,0,110,134.0,87.0,-2.779214798541294,0.216983545250856
156_easy.svg,easy,6,Beat Eater,Beat Eater,0,118,137.0,99.0,-2.804944943709018,0.39312837488489805
75_easy.svg,easy,6,Tale of the Deep-sea Lily,ウミユリ海底譚,0,119,120.0,102.0,-3.092749947132761,-0.37317753967179684
43_easy.svg,easy,6,NEXT NEST,ネクストネスト,0,122,128.0,127.0,-2.905292127921991,-0.038367028531873335
10_easy.svg,easy,6,Happy Synthesizer,ハッピーシンセサイザ,0,127,127.0,133.0,-2.9857485775364885,-0.04896249392449609
476_easy.svg,easy,6,Shadow Shadow,Shadow Shadow,0,128,135.0,129.0,-2.814111859455191,0.29267350685377386
150_easy.svg,easy,6,TOKIO FUNKA,トキヲ・ファンカ,0,129,108.0,107.0,-3.3442604580197837,-0.8873969081870942
191_easy.svg,easy,6,The Servant of Evil,悪ノ召使,0,130,120.0,94.0,-3.0722848622662307,-0.381335605148631
403_easy.svg,easy,6,TSUGAIKOGARASHI,番凩,0,133,109.0,125.0,-3.2578058321639096,-0.8782440532210896
684_easy.svg,easy,6,,ファイター,0,133,135.0,106.0,-2.8076314431596248,0.2907147968147989
82_easy.svg,easy,6,alive,alive,0,134,128.0,118.0,-2.9190078902524097,-0.03198864215171415
471_easy.svg,easy,6,ULTRA C,ULTRA C,0,134,128.0,97.0,-2.9536543284693586,-0.011304850076346724
649_easy.svg,easy,6,,サヨナラ天国また来て地獄,0,137,113.0,109.0,-3.207264270650974,-0.6845703682996681
45_easy.svg,easy,6,39Music!,39みゅーじっく！,0,139,130.0,119.0,-2.9209854862852747,0.08002215659232115
400_easy.svg,easy,6,We are the Stain Busters!,我らステインバスターズ！,0,139,125.0,104.0,-2.907973929989383,-0.19571255181066735
73_easy.svg,easy,6,Near,ニア,0,139,128.0,116.0,-2.89319550649965,-0.04443439971972757
