cluster,difficulty_level,total_notes,bpm,duration_seconds,pca_x,pca_y,n_l,n_m,n_mu,n_var,l_4,l_8,l_12,l_16,l_24,l_32,l_oth,t_l,t_s,t_f,t_mu,total_notes_svg,total_notes_csv,notes_mapped_by_beatlines,notes_mapped_fallback
0,8.727272727272727,250.92592592592592,124.82625151515151,126.25925925925925,-2.5989413962769135,-0.34606978105700936,0.0,117.3030303030303,6.975884883151301,265.2414463260707,0.9991371873152135,0.0005502664974833274,0.0003125461873031542,0.0,0.0,0.0,0.0,155.56228956228955,155.56228956228955,155.56228956228955,8.483097273735645,881.3905723905724,675.6296296296297,475.3636363636364,406.026936026936
1,26.05263157894737,965.906432748538,179.77093567251464,121.25730994152046,1.692195801242126,0.5681894020691333,0.0,125.35672514619883,7.137282243396173,283.5862203726871,0.99946420942259,0.0002560500191916991,0.00027974055821833647,0.0,0.0,0.0,0.0,149.7017543859649,149.7017543859649,149.7017543859649,8.717774202124678,921.4093567251462,693.6374269005848,503.2105263157895,418.19883040935673
2,15.560975609756097,444.2439024390244,130.91158536585365,113.2439024390244,-1.6597125535851593,-0.8606562133585177,0.0,144.17073170731706,8.317958984960793,358.811202411165,0.9992581364691365,0.00045463597477721836,0.0002872275560862203,0.0,0.0,0.0,0.0,165.09756097560975,165.09756097560975,165.09756097560975,7.615303756141212,1072.0487804878048,828.6829268292682,572.390243902439,499.6585365853659
3,11.124031007751938,430.3643410852713,214.84573643410852,127.42635658914729,-0.2606344539460359,3.30058401192494,0.0,108.93798449612403,6.559387129295804,221.91862902761582,0.9991901924555723,0.0004140358831089182,0.000395771661318721,0.0,0.0,0.0,0.0,156.2093023255814,156.2093023255814,156.2093023255814,8.442893051697277,817.1085271317829,641.5968992248062,451.94573643410854,365.16279069767444
4,17.0,563.875,112.0,131.25,-1.5723169712096032,-3.9438188862247348,0.0,145.5,8.086123647504138,291.05314430914007,0.9980961259409689,0.0019038740590311186,0.0,0.0,0.0,0.0,0.0,156.625,156.625,156.625,7.8612530675228465,971.5,746.0,562.25,409.25
5,25.77319587628866,835.4020618556701,109.4639175257732,125.6082474226804,-0.037618203352815516,-2.373844056716529,0.0,133.24742268041237,7.613841716691511,350.06423328421295,0.9981888752633817,0.0007987476673561789,0.0010123770692620048,0.0,0.0,0.0,0.0,154.81443298969072,154.81443298969072,154.81443298969072,9.373547947491362,936.319587628866,702.8350515463917,509.3917525773196,426.92783505154637
6,32.26190476190476,1623.3809523809523,191.75,139.38095238095238,4.948981394801074,-0.2828423473644661,0.0,116.21428571428571,6.861915767051693,247.29548853613943,0.9986812720326353,0.0005681866896241122,0.0007505412777405537,0.0,0.0,0.0,0.0,154.73809523809524,154.73809523809524,154.73809523809524,8.785220535527534,827.0,655.6666666666666,426.0952380952381,400.9047619047619
7,26.0,834.9555555555555,117.66111111111111,119.26666666666667,0.029822166370791138,-2.6466037210014255,0.0,137.06666666666666,7.532451916669018,311.6148855253559,0.9999587349869793,3.1182335061475825e-05,1.0082677959265981e-05,0.0,0.0,0.0,0.0,162.84444444444443,162.84444444444443,162.84444444444443,8.818481960333193,929.6444444444444,721.0666666666667,470.9111111111111,458.73333333333335
8,26.598540145985403,981.8540145985402,130.54782262773722,132.96350364963504,0.7928799624148947,-1.6270104812566646,0.0,124.83211678832117,7.199203224690477,280.981311961009,0.997740194645351,0.000788018662335579,0.0014717866923134543,0.0,0.0,0.0,0.0,155.2919708029197,155.2919708029197,155.2919708029197,9.861966627860909,910.8102189781022,703.5401459854014,481.4963503649635,429.3138686131387
9,37.0,2094.0,223.0,127.5,14.051132875006436,-2.861737654318816,0.0,160.5,6.67104139991464,367.87170734868477,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,129.0,6.578104993597951,936.0,740.5,605.5,330.5
